Namn;URL;Location;Date;Latitude;Longitude
Ultra Trail Atlas Toubkal (UTAT 105);https://raceraves.com/races/ultra-trail-atlas-toubkal-utat-105/;Oukaimeden, Morocco ; Oct 5Ð6, 2019;31.205279;-7.8613235
International Marathon of Casablanca;https://raceraves.com/races/international-marathon-of-casablanca/;Casablanca, Morocco ; Oct 6, 2019;33.5950627;-7.6187768
Petra Desert Marathon;https://raceraves.com/races/petra-desert-marathon/;Petra, Jordan ; Sep 7, 2019;30.3273975;35.4464006
Amman Marathon;https://raceraves.com/races/amman-marathon/;Amman, Jordan ; Oct 11, 2019;31.9515694;35.9239625
Beirut Marathon;https://raceraves.com/races/beirut-marathon/;Beirut, Lebanon ; Nov 10, 2019;33.8959203;35.47843
Eilat Desert Marathon;https://raceraves.com/races/eilat-desert-marathon/;Eilat, Israel ; Nov 29, 2019;29.5569348;34.9497949
Siberian International Marathon;https://raceraves.com/races/siberian-international-marathon/;Omsk, Russia ; Aug 3, 2019;54.991375;73.371529
IRONMAN Vichy;https://raceraves.com/races/ironman-vichy/;Vichy, France ; Aug 25, 2019;46.1239268;3.4203712
GRAWE Night Marathon;https://raceraves.com/races/grawe-night-marathon/;Zagreb, Croatia ; Aug 31, 2019;45.813177;15.977048
Marathon du Medoc;https://raceraves.com/races/medoc-marathon/;Pauillac, France ; Sep 7, 2019;45.1995626;-0.7484994
IRONMAN Italy Emilia-Romagna;https://raceraves.com/races/ironman-italy-emilia-romagna/;Cervia, Italy ; Sep 21, 2019;44.2609836;12.3495462
Moscow Marathon;https://raceraves.com/races/moscow-marathon/;Moscow, Russia ; Sep 22, 2019;55.7504461;37.6174943
WorldÕs Fastest Marathon;https://raceraves.com/races/worlds-fastest-marathon/;Pradollano, Sierra Nevada, Spain ; Sep 22, 2019;37.0948755;-3.3991152
Stone Wall Marathon;https://raceraves.com/races/stone-wall-marathon/;Ston, Croatia ; Sep 22, 2019;42.8383616;17.6962001
Valamar Trail;https://raceraves.com/races/valamar-trail/;Labin, Croatia ; Sep 28, 2019;45.094851;14.1231931
IRONMAN Barcelona;https://raceraves.com/races/ironman-barcelona/;Calella, Spain ; Oct 6, 2019;41.6132925;2.6576102
Lyon Marathon;https://raceraves.com/races/lyon-marathon/;Lyon, France ; Oct 6, 2019;45.6963425;4.73594802991681
Zagreb Marathon,  Half Marathon & CitizenÕs Race;https://raceraves.com/races/zagreb-marathon-half-marathon-citizens-race/;Zagreb, Croatia ; Oct 13, 2019;45.813177;15.977048
Palma Marathon Mallorca;https://raceraves.com/races/palma-marathon-mallorca/;Palma de Mallorca, Spain ; Oct 13, 2019;39.5695818;2.6500745
Bilbao Night Marathon;https://raceraves.com/races/bilbao-night-marathon/;Bilbao, Spain ; Oct 19, 2019;43.2630051;-2.9349915
Lisbon Marathon;https://raceraves.com/races/lisbon-marathon/;Cascais, Portugal ; Oct 20, 2019;38.72240025;-9.39690917164988
Chianti (We Run Italy);https://raceraves.com/races/chianti-we-run-italy/;Chianti, Italy ; Oct 20, 2019;43.7043073;11.1048413
Marathon de Toulouse Metropole;https://raceraves.com/races/marathon-de-toulouse-metropole/;Toulouse, France ; Oct 20, 2019;43.6044622;1.4442469
Ecomaratona del Chianti;https://raceraves.com/races/ecomaratona-del-chianti/;Sienna, Italy ; Oct 20, 2019;46.7665734;12.1704695
Podgorica Marathon;https://raceraves.com/races/podgorica-marathon/;Podgorica, Montenegro ; Oct 27, 2019;42.4415238;19.2621081
Venice Marathon;https://raceraves.com/races/venice-marathon/;Venice, Italy ; Oct 27, 2019;45.4371908;12.3345898
French Riviera Marathon;https://raceraves.com/races/french-riviera-marathon/;Nice, France ; Nov 3, 2019;43.7009358;7.2683912
Lake Maggiore Marathon;https://raceraves.com/races/lake-maggiore-marathon/;Pallanza Verbania, Italy ; Nov 3, 2019;45.9240841;8.5524086
Porto Marathon;https://raceraves.com/races/porto-marathon/;Porto, Portugal ; Nov 3, 2019;41.1494512;-8.6107884
Istanbul Marathon;https://raceraves.com/races/istanbul-marathon/;Istanbul, Turkey ; Nov 3, 2019;41.0096334;28.9651646
Turin Marathon;https://raceraves.com/races/turin-marathon/;Turin, Italy ; Nov 3, 2019;45.0677551;7.6824892
Athens Marathon. The Authentic;https://raceraves.com/races/athens-marathon-the-authentic/;Athens, Greece ; Nov 9Ð10, 2019;37.9841493;23.7279843
Ravenna Marathon City of Art;https://raceraves.com/races/ravenna-marathon-city-of-art/;Ravenna, Italy ; Nov 10, 2019;44.4161414;12.2017617
Larnaka International Marathon;https://raceraves.com/races/larnaka-international-marathon/;Larnaca, Cyprus ; Nov 17, 2019;34.9172012;33.6378531
Verona Marathon;https://raceraves.com/races/verona-marathon/;Verona, Italy ; Nov 17, 2019;45.4384958;10.9924122
Palermo City Marathon;https://raceraves.com/races/palermo-city-marathon/;Palermo, Italy ; Nov 17, 2019;38.1112268;13.3524434
Beaujolais International Marathon;https://raceraves.com/races/beaujolais-international-marathon/;Villefranche-sur-Saone, France ; Nov 23, 2019;45.9864749;4.726611
Marathon de La Rochelle Serge Vigot;https://raceraves.com/races/marathon-de-la-rochelle-serge-vigot/;La Rochelle, France ; Nov 24, 2019;46.1591126;-1.1520434
Donostia San Sebastian Marathon;https://raceraves.com/races/donostia-san-sebastian-marathon/;San Sebastian, Spain ; Nov 24, 2019;43.3224219;-1.9838889
Firenze (Florence) Marathon;https://raceraves.com/races/firenze-florence-marathon/;Florence, Italy ; Nov 24, 2019;43.7698712;11.2555757
